model,condition,near_dup_rate,effective_rank
claude-haiku-4-5,Full formulation,0.0736,76.7
claude-haiku-4-5,No formulation,0.0473,79.3
claude-haiku-4-5,Zero-shot,0.0651,73.2
claude-sonnet-4-6,Full formulation,0.2303,78.3
claude-sonnet-4-6,No formulation,0.1325,80.2
claude-sonnet-4-6,Zero-shot,0.0465,76.7
deepseek-chat,Full formulation,0.1982,84.3
deepseek-chat,No formulation,0.1789,87.1
deepseek-chat,Zero-shot,0.1581,76.0
deepseek-reasoner,Full formulation,0.2193,85.9
deepseek-reasoner,No formulation,0.1531,84.7
deepseek-reasoner,Zero-shot,0.0537,81.2
gemini-2.5-flash,Full formulation,0.4751,80.8
gemini-2.5-flash,No formulation,0.3394,83.9
gemini-2.5-flash,Zero-shot,0.1627,77.9
gemini-2.5-pro,Full formulation,0.2929,87.4
gemini-2.5-pro,No formulation,0.1993,89.0
gemini-2.5-pro,Zero-shot,0.0549,86.7
gpt-4o-mini,Full formulation,0.4252,85.1
gpt-4o-mini,No formulation,0.3354,86.8
gpt-4o-mini,Zero-shot,0.1959,80.2
gpt-5.4,Full formulation,0.2607,78.9
gpt-5.4,No formulation,0.2892,74.5
gpt-5.4,Zero-shot,0.1442,54.9
gpt-5.4-mini,Full formulation,0.3675,79.4
gpt-5.4-mini,No formulation,0.3301,77.9
gpt-5.4-mini,Zero-shot,0.2532,49.6
qwen2.5-32b,Full formulation,0.5733,80.8
qwen2.5-32b,No formulation,0.4228,80.4
qwen2.5-32b,Zero-shot,0.259,76.4
qwen3.6-35b,Full formulation,0.2819,86.9
qwen3.6-35b,No formulation,0.2321,82.6
qwen3.6-35b,Zero-shot,0.1199,84.5
