condition,label,model,mean_dist,n
full,Full formulation,claude-haiku-4-5,0.62738353,500
full,Full formulation,claude-sonnet-4-6,0.60037225,500
full,Full formulation,deepseek-chat,0.56938905,500
full,Full formulation,deepseek-reasoner,0.57345843,499
full,Full formulation,gemini-2.5-flash,0.50492156,499
full,Full formulation,gpt-4o-mini,0.48088634,500
full,Full formulation,gpt-5.4,0.5683431,500
full,Full formulation,gpt-5.4-mini,0.5398517,500
full,Full formulation,qwen2.5-32b,0.4745616,500
full,Full formulation,qwen3.6-35b,0.5376803,500
no_formulation,No formulation,claude-haiku-4-5,0.63946813,500
no_formulation,No formulation,claude-sonnet-4-6,0.63898736,500
no_formulation,No formulation,deepseek-chat,0.5848645,500
no_formulation,No formulation,deepseek-reasoner,0.5867891,500
no_formulation,No formulation,gemini-2.5-flash,0.51530397,500
no_formulation,No formulation,gpt-4o-mini,0.5087401,500
no_formulation,No formulation,gpt-5.4,0.55035627,500
no_formulation,No formulation,gpt-5.4-mini,0.52478725,500
no_formulation,No formulation,qwen2.5-32b,0.5107486,500
no_formulation,No formulation,qwen3.6-35b,0.5596703,499
zero_shot,Zero-shot,claude-haiku-4-5,0.5877078,500
zero_shot,Zero-shot,claude-sonnet-4-6,0.6270367,500
zero_shot,Zero-shot,deepseek-chat,0.54159045,500
zero_shot,Zero-shot,deepseek-reasoner,0.58807254,500
zero_shot,Zero-shot,gemini-2.5-flash,0.5844421,484
zero_shot,Zero-shot,gpt-4o-mini,0.55116683,500
zero_shot,Zero-shot,gpt-5.4,0.47406632,500
zero_shot,Zero-shot,gpt-5.4-mini,0.43248427,500
zero_shot,Zero-shot,qwen2.5-32b,0.5571269,500
zero_shot,Zero-shot,qwen3.6-35b,0.5534272,500
