model,Full formulation,No formulation,Zero-shot,mean_across_conditions
claude-sonnet-4-6,0.60037225,0.63898736,0.6270367,0.6221321
claude-haiku-4-5,0.62738353,0.63946813,0.5877078,0.6181865
deepseek-reasoner,0.57345843,0.5867891,0.58807254,0.5827734
deepseek-chat,0.56938905,0.5848645,0.54159045,0.56528133
qwen3.6-35b,0.5376803,0.5596703,0.5534272,0.5502593
gemini-2.5-flash,0.50492156,0.51530397,0.5844421,0.5348892
gpt-5.4,0.5683431,0.55035627,0.47406632,0.5309219
qwen2.5-32b,0.4745616,0.5107486,0.5571269,0.5141457
gpt-4o-mini,0.48088634,0.5087401,0.55116683,0.5135978
gpt-5.4-mini,0.5398517,0.52478725,0.43248427,0.49904108
