model,Full formulation,No formulation,Zero-shot,mean_across_conditions
deepseek-reasoner,0.039089717,0.03645101,0.037736148,0.037758958
deepseek-chat,0.038013387,0.03635658,0.038641103,0.037670355
claude-haiku-4-5,0.034447365,0.034915395,0.03556653,0.03497643
gpt-5.4,0.035722464,0.034988552,0.03162671,0.034112576
claude-sonnet-4-6,0.034155287,0.03409937,0.032993197,0.033749286
qwen3.6-35b,0.034817927,0.032000586,0.030440725,0.032419745
qwen2.5-32b,0.030264037,0.032067508,0.033288844,0.03187346
gemini-2.5-flash,0.032146137,0.030964559,0.03170261,0.031604435
gpt-5.4-mini,0.03257596,0.029511042,0.029780168,0.030622391
gpt-4o-mini,0.032559857,0.027017789,0.030768244,0.030115297
