model,Full formulation,No formulation,Zero-shot,mean_across_conditions
claude-haiku-4-5,0.41408324,0.43665907,0.41792205,0.42288813
deepseek-reasoner,0.3617842,0.37986067,0.45269397,0.39811292
claude-sonnet-4-6,0.35606587,0.3883036,0.42716634,0.39051196
deepseek-chat,0.36535758,0.37546197,0.40253094,0.38111684
qwen3.6-35b,0.3433033,0.35889748,0.4057959,0.36933222
gpt-5.4,0.3481764,0.34370127,0.40358433,0.365154
gpt-5.4-mini,0.32899868,0.33759224,0.3649697,0.34385356
gemini-2.5-flash,0.31086183,0.3339586,0.38659865,0.34380636
gpt-4o-mini,0.31721961,0.33073792,0.36900318,0.3389869
qwen2.5-32b,0.29465443,0.31589627,0.35399443,0.32151505
