,Flash,Flash,Flash,Expert,Expert,Expert
condition,Full formulation,No formulation,Zero-shot,Full formulation,No formulation,Zero-shot
clarity,2.95,3.0,2.99,,,
relevance,2.98,2.97,2.97,,,
importance,2.9,2.8,2.5,,,
g1_grounded,2.81,2.89,2.83,,,
g2_narrative,2.89,2.84,2.38,,,
g3_explicit,3.0,3.0,3.0,,,
g4_relevant,2.89,2.92,2.81,,,
dsm_a,0.91,0.86,0.92,,,
dsm_b,0.85,0.85,1.0,,,
dsm_c,0.89,0.94,0.97,,,
dsm_d,1.0,1.0,0.85,,,
dsm_e,0.96,0.95,1.0,,,
dsm_g,1.0,1.0,0.98,,,
ec_threat,0.77,0.75,0.69,,,
ec_appraisals,0.91,0.78,0.45,,,
ec_memory,0.72,0.72,0.5,,,
ec_strategies,0.96,0.63,0.5,,,
ec_triggers,0.95,0.92,0.97,,,
