criterion,kind,k_OvP,k_FvO,k_FvP,Fleiss_3,AC1_OvP,AC1_FvO,AC1_FvP,AC1_3
dsm_a,DSM,0.237,0.285,0.474,0.344,0.869,0.896,0.867,0.878
dsm_b,DSM,0.758,0.827,0.731,0.771,0.949,0.963,0.941,0.951
dsm_c,DSM,0.592,0.551,0.567,0.57,0.888,0.909,0.904,0.9
dsm_d,DSM,0.507,0.43,0.456,0.464,0.923,0.913,0.936,0.924
dsm_e,DSM,0.6,0.68,0.624,0.635,0.967,0.974,0.974,0.972
dsm_g,DSM,-0.008,0.567,-0.007,0.215,0.981,0.991,0.985,0.986
ec_threat,E&C,0.358,0.403,0.47,0.405,0.603,0.668,0.602,0.624
ec_appraisals,E&C,0.623,0.673,0.592,0.629,0.729,0.766,0.718,0.738
ec_memory,E&C,0.548,0.636,0.579,0.587,0.6,0.682,0.619,0.634
ec_strategies,E&C,0.306,0.398,0.337,0.345,0.676,0.621,0.607,0.635
ec_triggers,E&C,0.555,0.482,0.354,0.462,0.926,0.935,0.894,0.919
