metric,Full formulation,No formulation,Zero-shot
Clarity,2.861,2.991,2.988
Relevance,2.908,2.95,2.919
Importance,2.748,2.653,2.487
G1 — Grounded,2.707,2.781,2.735
G2 — Narrative,2.837,2.759,2.432
G3 — Explicit,2.993,2.995,2.995
G4 — Relevant,2.821,2.869,2.775
DSM A — Trauma exposure,0.877,0.845,0.891
DSM B — Intrusion,0.913,0.925,0.973
DSM C — Avoidance,0.904,0.925,0.894
DSM D — Neg. cognitions,0.899,0.919,0.868
DSM E — Hyperarousal,0.92,0.928,0.995
DSM G — Impairment,0.995,0.999,0.981
E&C — Threat,0.738,0.665,0.632
E&C — Appraisals,0.849,0.849,0.512
E&C — Memory,0.583,0.584,0.394
E&C — Strategies,0.914,0.732,0.471
E&C — Triggers,0.93,0.925,0.945
