metric,Full formulation,No formulation,Zero-shot
Clarity,2.979,2.995,2.993
Relevance,2.965,2.98,2.968
Importance,2.82,2.711,2.539
G1 — Grounded,2.816,2.854,2.81
G2 — Narrative,2.885,2.808,2.474
G3 — Explicit,2.994,2.997,2.999
G4 — Relevant,2.909,2.898,2.827
DSM A — Trauma exposure,0.885,0.853,0.902
DSM B — Intrusion,0.912,0.925,0.972
DSM C — Avoidance,0.901,0.929,0.92
DSM D — Neg. cognitions,0.898,0.918,0.861
DSM E — Hyperarousal,0.924,0.934,0.999
DSM G — Impairment,0.997,1.0,0.983
E&C — Threat,0.741,0.69,0.668
E&C — Appraisals,0.853,0.855,0.521
E&C — Memory,0.599,0.61,0.423
E&C — Strategies,0.914,0.734,0.485
E&C — Triggers,0.934,0.929,0.956
