metric,n,d_FN,p_FN,sig_FN,d_FZ,p_FZ,sig_FZ,d_NZ,p_NZ,sig_NZ
clarity,5000,-0.0936,0.0,***,-0.0827,0.0,***,0.0137,0.9961,
relevance,5000,-0.0711,0.0,***,-0.0099,1.0,,0.061,0.0,***
importance,5000,0.2335,0.0,***,0.5189,0.0,***,0.3099,0.0,***
g1_grounded,5000,-0.1284,0.0,***,0.0164,0.735,,0.1433,0.0,***
g2_narrative,5000,0.1968,0.0,***,0.7551,0.0,***,0.5883,0.0,***
g3_explicit,5000,-0.0344,0.0454,*,-0.0543,0.0004,***,-0.0278,0.1486,
g4_relevant,5000,0.0294,0.1134,,0.1925,0.0,***,0.1617,0.0,***
dsm_a,5000,0.0814,0.0,***,-0.0462,0.0033,**,-0.1218,0.0,***
dsm_b,5000,-0.0446,0.0048,**,-0.1854,0.0,***,-0.1536,0.0,***
dsm_c,5000,-0.082,0.0,***,-0.045,0.0044,**,0.0258,0.2029,
dsm_d,5000,-0.0612,0.0,***,0.0819,0.0,***,0.1306,0.0,***
dsm_e,5000,-0.034,0.0489,*,-0.2803,0.0,***,-0.2603,0.0,***
dsm_g,5000,-0.0402,0.0135,*,0.1034,0.0,***,0.1268,0.0,***
ec_threat,5000,0.0928,0.0,***,0.1211,0.0,***,0.0351,0.039,*
ec_appraisals,5000,-0.0068,1.0,,0.5519,0.0,***,0.5631,0.0,***
ec_memory,5000,-0.0232,0.3013,,0.2634,0.0,***,0.283,0.0,***
ec_strategies,5000,0.3711,0.0,***,0.7614,0.0,***,0.3817,0.0,***
ec_triggers,5000,0.014,0.9651,,-0.0694,0.0,***,-0.0825,0.0,***
