model,full,no_formulation,zero_shot,delta
claude-haiku-4-5,-0.0233,-0.0264,-0.0096,0.0137
claude-sonnet-4-6,-0.0054,-0.0049,0.0005,0.0059
deepseek-chat,-0.0225,-0.0259,-0.0229,-0.0004
deepseek-reasoner,-0.0184,-0.0249,-0.0156,0.0028
gemini-2.5-flash,-0.0338,-0.0288,-0.0128,0.021
gemini-2.5-pro,-0.0386,-0.04,-0.0187,0.0198
gpt-4o-mini,-0.0278,-0.018,-0.0195,0.0083
gpt-5.4,-0.0019,0.0143,0.0844,0.0863
gpt-5.4-mini,0.0085,0.0056,0.1028,0.0943
qwen2.5-32b,-0.0065,-0.0039,0.0124,0.0189
qwen3.6-35b,-0.0213,-0.0258,-0.0373,-0.016
